#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,299875.8284
0.379484124,292098.0914
0.384349305,340060.417
0.389340855,303446.2864
0.394463761,363357.2148
0.399723277,338688.8431
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,37160947.33
0.379484124,37368247.08
0.384349305,37883773.31
0.389340855,38124869.61
0.394463761,39021578.15
0.399723277,39590812.98
